Rodrigo Adao
Dan Adelman
Mark Agnew
Michael Alter
Robert Altman
Bryon Aragam
Baris Ata
Ray Ball
Brian Barry
Daniel Bartels
Terrence Belton
Philip Berger
Marianne Bertrand
Raghu Betina
Ayan Bhattacharya
John Birge
Jason Blumberg
Jonathan Bonham
Laura Born
Eric Budish
Gregory Bunch
Ronald Burt
Rene Caldentey
Ozan Candogan
Dennis Carlton
Christine Carpenter
Carlos Carvalho
Mus Chagal
Shereen Chaudhry
Sergio Chayet
Alex Chinco
Pradeep Chintagunta
Dennis Chookaszian
Hans Christensen
John Cochrane
Emanuele Colonnelli
Giovanni Compiani
George Constantinides
Thomas Covert
Keith Crandell
Harry Davis
Steven Davis
Joshua Dean
Nicole DeHoratius
Waverly Deutsch
Levi DeValve
Sanjay Dhar
Douglas Diamond
Berkeley Dietvorst
Jonathan Dingel
Rebecca Dizon-Ross
Wenxin Du
Jean-Pierre Dubé
Donald Eisenstein
Nicholas Epley
Merle Erickson
Joshua Fairbank
Eugene Fama
Max Farrell
Ayelet Fishbach
Kathleen Fitzgerald
Alexander Frankel
Celia Gaertig
John Gallemore
Robert Gertner
Michael Gibbs
Zvi Gilula
Linda Ginzel
Austan Goolsbee
Niels Gormsen
Joao Granja
Caroline Grossman
Veronica Guerrieri
Varun Gupta
Christina Hachikian
Charles Hadlock
John Hand
J. Hanna
Christian Hansen
Lars Hansen
Milton Harris
Samuel Hartzmark
Reid Hastie
Zhiguo He
John Heaton
Jason Heltzer
Wendy Heltzer
Günter Hitsch
Richard Hornbeck
Christopher Hsee
Chang-Tai Hsieh
Kilian Huber
John Huizinga
Erik Hurst
Alex Imas
Mary Ittelson
Jessica Jeffers
Richard Jenkins
Tetsuya Kaji
Emir Kamenica
Steven Kaplan
Anil Kashyap
Lara Kattan
Rohan Kekre
Elisabeth Kempf
Marc Knez
Alex Koch
Ralph Koijen
Mladen Kolar
Stacey Kole
Christopher Krohn
Randall Kroszner
Richard Leftwich
Jacob Leshno
Christian Leuz
Emma Levine
Tengyuan Liang
Haihao(Sean) Lu
Lindsey Lyman
Yueran Ma
Mark Maffett
Starr Marcello
Anthony Marciano
Sonia Marciano
Andrew McClellan
Charles McClure
Robert McCulloch
Ann McGill
Christopher McGowan
John McKinney
Scott Meadow
Arthur Middlebrooks
Michael Minnis
Sanjog Misra
Mark Mitchell
Lil Mohan
Stephen Morrissette
Sarah Moshary
Jack Mountjoy
Maximilian Muhn
Sendhil Mullainathan
Kevin Murphy
Stefan Nagel
Brent Neiman
Scott Nelson
Rad Niazadeh
Valeri Nikolaev
Pascal Noel
Matthew Notowidigdo
A. Nussbaum
Ed O'Brien
Brian O'Connor
Joseph Pagliari
Lubos Pastor
Christina Patterson
Randal Picker
David Pogrund
Nicholas Polson
Devin Pope
Canice Prendergast
Darryl Pure
Madhav Rajan
Raghuram Rajan
Anita Rao
Alyssa Rapp
Daniel Rappoport
Thomas Rauter
Amoray Riggs-Cragun
Jane Risen
Stephen Ritchie
Veronika Rockova
John Rollert
Guy Rolnik
Jeffrey Russell
Delphine Samuels
Burhaneddin Sandikçi
Haresh Sapra
Heather Sarsons
James Schrager
Anuj Shah
Bradley Shapiro
Amanda Sharkey
Sandra Shelton
Hyoduk Shin
Ram Shivakumar
Douglas Skinner
Ekaterina(Katja) Smetanina
Abbie Smith
Leonard Soffer
Vadim Sokolov
Lisa Stefanac
Christopher Stewart
Lars Stole
Per Stromberg
Avner Strulov-Shlain
Amir Sufi
Abigail Sussman
Chad Syverson
Thomas Talhelm
Mark Tebbe
Craig Terrill
Richard Thaler
Alexander Todorov
Rimmy Tomy
Robert Topel
Panagiotis(Panos) Toulis
Ruey Tsay
Oleg Urminsky
Joseph Vavra
Theo Vermaelen
Pietro Veronesi
Robert Vishny
Richard Volden
Xikuan Wang
Amy Ward
Michael Weber
Ira Weiss
Hal Weitzman
Rebecca White
Thomas Winberry
Bernd Wittenbrink
Robert Wolcott
Thomas Wollmann
George Wu
Linwei Xin
Dacheng Xiu
Constantine Yannelis
Anastasia Zakolyukina
Anthony Zhang
Yuan Zhong
Elena Zinchenko
Luigi Zingales
Mark Zmijewski
Eric Zwick
